,0,1,2,3
39.7,45.7867847,1.790231986,9.337259349,9.011125448
39.8,2.544229348,0.005,62.027612,0.232189556
39.9,1.345011298,0.213543165,6.572416398,0.376349347
40,7.585879132,5.353383685,36.79053107,6.175339238
40.1,41.28426907,4.447357426,11.49983247,9.676013504
40.2,12.32356392,12.84765366,10.00399524,33.37172036
40.3,12.01160482,19.76377733,19.13228601,15.74457622
40.4,2.906090885,13.99560455,138.3268131,0.023426964
40.5,16.37081687,12.33999421,6.686636484,16.36887179
40.6,8.931821637,0,23.03578289,18.28796358
40.7,7.019592149,13.20542138,9.256812946,29.2255424
40.8,12.64581617,15.101609,11.57281662,0.036762424
40.9,0.275340444,14.69529799,21.97613998,6.515165721
41,10.55045657,9.946902297,0.02365312,0
41.1,10.07945155,13.59291665,7.061900383,6.793891665
41.2,0,0.177664741,13.77037549,10.15751727
41.3,0.614198599,0.049692114,0.031711668,5.68971835
41.4,1.405677108,0.191755748,8.669537101,0.076240178
41.5,9.142236432,9.682571894,0.022210405,0.063737293
41.6,4.401290629,0,0.587791443,1.178332992
41.7,3.840487054,8.214941835,1.524979435,2.930018707
41.8,6.784364884,2.62388347,0.867930637,2.043311898
41.9,1.690833006,0.030990167,0.034616153,1.221525089
42,0,1.988666042,4.070647249,15.50153731
42.1,0.441122591,0.014143358,0.862470196,0.0095
42.2,2.208767501,1.340682432,2.968466695,2.972207559
42.3,1.001175709,3.363779763,0.252167161,0.00558811
42.4,2.226295066,1.599845782,2.279881483,0.405692835
42.5,1.577517875,0.023418884,1.778777158,0.917168343
42.6,1.761644912,0.96692069,0.063592018,0.084294718
42.7,1.058857328,0,0.244643937,0.026712802
42.8,0.843884393,1.163790247,0,2.923310587
42.9,0.005,0.534801459,0.328840018,1.20645924
43,1.187065084,0,0.05313765,0.848516863
43.1,0.7168539,0.193085331,4.527315973,0
43.2,2.066042471,0.005989505,0.16119354,0.307258249
43.3,2.32491703,0.421427728,0.278042369,0.456798251
43.4,1.499672064,0.005495,0.559003196,0.065921483
43.5,1.645511922,1.553084692,0.097999355,0.06610737
43.6,0.005,0.250609921,0.064935968,0.629693307
43.7,1.658006451,0,0,0.013348015
43.8,1.85988116,0.616088801,0.045668632,0.173836404
43.9,0.113743811,0.955303269,3.220568936,0.243848006
44,0.005544005,0.089395053,2.140911038,1.253946321
44.1,0.061374729,0.206233064,1.855538409,0.008454622
44.3,0.683847573,0.052019509,0.121763348,0
44.4,3.125140619,0.183795823,0.308399895,0.461144348
44.5,0.016064939,0.005544005,0,2771.11325
44.6,0.79763532,0,0.114889964,0
44.7,0.512104532,0.136957311,0,0.006977032
44.9,0.114326687,0.421677196,0.057327963,1.90105894
45,1.290415843,0.02367627,0.021244377,0.211813561
45.1,0.217885022,1.590105229,0.036979988,0.007962585
45.3,0.245580705,0,0.132945639,1.206161516
45.4,0.185429188,0,1.279565567,0
45.5,0.709679832,0,0.379560924,0
45.6,0.375358352,0.079660683,0,0
45.7,1.984040363,0.089495159,0.011681065,0.005
45.9,0.024894327,0.840703909,0.267470927,0
46.7,0.631715507,0,0.039403799,0.167771453
47.1,0.389218408,0.064181106,0,0
47.8,0.234445516,0.005,0,0
48.6,0.01997002,0,0.019830283,0
48.8,0.485082662,0.005,0,0
49,0.138126278,0.095506282,0,0
49.2,3978.808362,0,0,0
49.4,0,0,0,0
49.9,0.12931365,0,0,0
50.9,0.245934038,0,0,0
52.5,0,0.005,0,0
